topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,exam_year
Matrices,2,Evaluate the determinant of the matrix \(M=\begin{bmatrix}3 & 4 & 6\\2 & 1 & -1\\-1 & 3 & 5\end{bmatrix}\),20,25,30,35,C,Expand along the first row: \(|M| = 3\begin{vmatrix}1 & -1\\3 & 5\end{vmatrix} - 4\begin{vmatrix}2 & -1\\-1 & 5\end{vmatrix} + 6\begin{vmatrix}2 & 1\\-1 & 3\end{vmatrix} = 3(5-(-3)) - 4(10-1) + 6(6-(-1)) = 24 - 36 + 42 = 30\).,JAMB 2024
Number Bases,2,Compute \(20045_{7}-14256_{7}\).,\(1256_{7}\),\(2456_{7}\),\(1356_{7}\),\(2465_{7}\),B,Convert to base 10 or subtract in base \(7\): result \(=2456_{7}\).,JAMB 2024
Number Bases,1,Convert \(10111.11_{2}\) to a mixed number.,\(23\frac{1}{4}\),\(23\frac{3}{4}\),\(22\frac{1}{4}\),\(24\frac{3}{4}\),B,Integer part \(=23\) and fractional part \(.11_{2}=\frac{1}{2}+\frac{1}{4}=\frac{3}{4}\). So \(23\frac{3}{4}\).,JAMB 2024
Percentages,1,A trader gave a change of \#540.00 instead of \#570.00. Calculate the percentage error.,\(5\frac{5}{19}\%\),\(5\frac{5}{9}\%\),\(5\frac{7}{19}\%\),\(5\frac{7}{9}\%\),A,\(\frac{|570-540|}{570}\times100=\frac{30}{570}\times100=\frac{100}{19}\approx5\frac{5}{19}\%\).,WAEC 2024
Permutations & Combinations,2,"From a class of \(5\) girls and \(7\) boys, a committee of \(2\) girls and \(3\) boys is to be formed. How many ways?",350 ways,420 ways,550 ways,720 ways,A,\(\binom{5}{2}\binom{7}{3}=10\cdot35=350\).,JAMB 2024
Permutations & Combinations,2,"In how many ways can a committee of \(5\) be selected from \(7\) males and \(3\) females, if the committee must have at least one female?",105 ways,135 ways,210 ways,231 ways,D,Total \(\binom{10}{5}=252\); all-male \(\binom{7}{5}=21\). Hence \(252-21=231\).,JAMB 2024
Permutations & Combinations,2,In how many ways can \(6\) people sit around a table?,120,240,60,30,A,"For circular permutations, number of arrangements is \((n-1)!\). Here \((6-1)!=5!=120\).",JAMB 2024
Algebra,2,Find the roots of \(x^{3}-19x-30=0\).,"\(-5,3,2\)","\(5,3,-2\)","\(5,-3,-2\)","\(-5,-3,2\)",C,"Trial root \(x=5\) works; divide to get \(x^{2}+5x+6=(x+2)(x+3)\). Roots \(5,-2,-3\).",JAMB 2024
Probability,1,A bag contains \(7\) red and \(4\) black balls. Two balls are picked with replacement. Find the probability both are the same colour.,\(\frac{54}{121}\),\(\frac{65}{121}\),\(\frac{29}{55}\),\(\frac{27}{55}\),B,"\(P(\text{RR})=(7/11)^2=49/121\), \(P(\text{BB})=(4/11)^2=16/121\). Sum \(=65/121\).",JAMB 2024
"Ratios, Proportions and Rates",1,The ratio of men to women in a \(20\)-member committee is \(3:1\). How many women must be added to make the ratio \(3:2\)?,2,5,7,8,B,"Men \(= \tfrac{3}{4}\times 20=15\), women \(=5\). Let \(x\) women be added: \(\frac{15}{5+x}=\frac{3}{2}\Rightarrow 30=15+3x\Rightarrow x=5\).",JAMB 2024
Sequences & Series,1,"The first term of an A.P. is \(2\) and the last term is \(29\). If the common difference is \(3\), how many terms are there?",8,9,10,11,C,\(29=2+(n-1)3\Rightarrow n=10\).,WAEC 2024
Sequences & Series,1,The sum to infinity of a GP is \(100\). Find its first term if the common ratio is \(-\tfrac{1}{2}\).,150,155,160,165,A,"For \(|r|<1\), \(S_\infty=\frac{a}{1-r}\Rightarrow 100=\frac{a}{1-(-1/2)}=\frac{a}{3/2}\Rightarrow a=150\).",JAMB 2024
Sequences & Series,1,"Find the \(7^{\text{th}}\) term of the sequence \(-10,\,50,\,-250,\ldots\)",165250,156250,-156250,"-165,250",C,"GP with \(a=-10\), \(r=-5\). \(T_7=a r^{6}=-10(-5)^6=-10\cdot 15625=-156250\).",JAMB 2024
Sets,1,"Given \(P=\{p:1<p<20\}\) and \(R=\{r:0\le r\le25,\ r\text{ multiple of }4\}\). Find \(P\cap R\).","\{4,8,10,16\}","\{4,8,12,16\}","\{4,8,12,16,20\}","\{4,8,12,16,20,24\}",B,"\(P=\{2,\dots,19\}\), \(R=\{0,4,8,12,16,20,24\}\Rightarrow P\cap R=\{4,8,12,16\}.\)",WAEC 2024
Sets,1,"How many subsets (proper and improper) does the set \(K=\{a,b,c,d,e\}\) have?",10,25,32,50,C,A set with \(n=5\) elements has \(2^{n}=32\) subsets (including \(\emptyset\) and the set itself).,JAMB 2024
Sets,1,"Given that \(P\) is the set of all prime numbers between \(0\) and \(10\), and \(Q\) is the set of all odd numbers between \(0\) and \(10\). Find \((P\setminus Q)\cup(Q\setminus P)\).","{2, 9}",{9},"{1, 9}","{1, 2, 9}",D,"\(P=\{2,3,5,7\}\), \(Q=\{1,3,5,7,9\}\). Then \(P\setminus Q=\{2\}\), \(Q\setminus P=\{1,9\}\); union \(=\{1,2,9\}\).",JAMB 2024
Standard Form,1,Multiply \(3.4\times10^{-5}\) by \(7.1\times10^{8}\) and leave the answer in standard form.,\(2.414\times10^{2}\),\(2.414\times10^{3}\),\(2.414\times10^{4}\),\(2.414\times10^{5}\),C,\(3.4\cdot7.1=24.14\); power \(10^{3}\). So \(24.14\times10^{3}=2.414\times10^{4}\).,WAEC 2024
Statistics,1,Which of the following is a measure of central tendency?,Standard deviation,Range,Variance,Mean,D,Mean (along with median and mode) measures central tendency; the others measure dispersion/spread.,JAMB 2024
Statistics,1,The average age of four female teachers is \(40\) and that of eight male teachers is \(25\). Calculate the average age of all the teachers.,20,31,32,30,D,Total age \(=4\cdot40+8\cdot25=160+200=360\). Number \(=12\). Mean \(=360/12=30\).,JAMB 2024
Statistics,1,"The mean of \(13,16,x,18,21,2x,35\) is \(22\). Find \(x\).",16,17,23,25,B,\(\frac{13+16+18+21+35+x+2x}{7}=22\Rightarrow 103+3x=154\Rightarrow x=17.\),JAMB 2024
Statistics,1,"The scores of students in a test are \(4,3,3,2,1,2,5,7,8,3,5\). Find the mode.",2,3,4,5,B,Mode is the most frequent value: \(3\) occurs \(3\) times (highest).,JAMB 2024
Statistics,1,"The weights of 15 students are \(25,30,32,30,42,45,48,50,52,51,42,38,40,42,\dots\). What is the mode?",51,45,42,25,C,\(42\) occurs most frequently (three times).,JAMB 2024
Statistics,1,"Calculate the standard deviation of the scores \(5,4,6,7,8\) (treat as population).",\(\sqrt{2}\),\(\sqrt{3}\),2,3,A,Mean \(=6\). Sum of squared deviations \(=1+4+0+1+4=10\). Variance \(=10/5=2\). SD \(=\sqrt{2}\).,JAMB 2024
Statistics,1,Find the variance of a data set whose standard deviation is \(12.34\) (to the nearest whole number).,150,151,152,153,C,Variance \(=\sigma^2=(12.34)^2\approx152.28\Rightarrow 152\).,JAMB 2024
Surds & Indices,1,Simplify \(\dfrac{5+\sqrt7}{3+\sqrt7}\).,\(17-\sqrt7\),\(4-\sqrt7\),\(7-\sqrt7\),\(15-\sqrt7\),B,Rationalize with \(3-\sqrt7\): \(\frac{5+\sqrt7}{3+\sqrt7}\cdot\frac{3-\sqrt7}{3-\sqrt7}=\frac{8-2\sqrt7}{2}=4-\sqrt7\).,JAMB 2024
Surds & Indices,1,"If \((3-4\sqrt{2})(1+3\sqrt{2})=a+b\sqrt{2}\), find \(b\).",\(-5\),5,\(-21\),21,B,Expand: \(3+9\sqrt{2}-4\sqrt{2}-24=-21+5\sqrt{2}\Rightarrow b=5.\),WAEC 2024
Surds & Indices,2,"\((\sqrt{a}+\sqrt{8a})^{2}=54+b\sqrt{2}\). \(a,b\in\mathbb{Z}_{+}\). Find \(a\) and \(b\).","\(a=24,\,b=6\)","\(a=6,\,b=2\)","\(a=6,\,b=24\)","\(a=2,\,b=6\)",C,\((\sqrt{a}+\sqrt{8a})^{2}=9a+4a\sqrt{2}\). Match \(9a=54\Rightarrow a=6\); then \(b=4a=24\).,JAMB 2024
Trigonometry,1,\(\triangle PQR\) has \(|PQ|=|QR|=8\text{ cm}\) and \(\angle QPR=60^\circ\). Find the area of \(\triangle PQR\).,\(16\sqrt{3}\text{ cm}^2\),\(16\sqrt{2}\text{ cm}^2\),\(8\sqrt{3}\text{ cm}^2\),\(16\sqrt{2}\text{ cm}^2\),A,With two sides and included angle: \(A=\tfrac12 ab\sin\theta=\tfrac12\cdot 8\cdot 8\cdot \sin 60^\circ=\tfrac12\cdot 64\cdot \tfrac{\sqrt3}{2}=16\sqrt3\).,JAMB 2024
Trigonometry,2,"From the top of a building \(10\text{ m}\) high, the angle of elevation of the top of a \(25\text{ m}\) tree is \(30^\circ\). Calculate the horizontal distance between the building and the tree.","\(15\sqrt{3}\,\text{m}\)","\(5\sqrt{3}\,\text{m}\)","\(25\sqrt{3}\,\text{m}\)","\(30\sqrt{3}\,\text{m}\)",A,Vertical difference \(=25-10=15\). Using \(\tan 30^\circ=\frac{\text{opp}}{\text{adj}}=\frac{15}{x}\Rightarrow x=\frac{15}{\tan 30^\circ}=15\sqrt{3}\).,JAMB 2024
Trigonometry,2,"If \(\tan\theta=\frac{8}{15}\), simplify \(\dfrac{\sin\theta-\cos\theta}{\sin^{2}\theta-\sin\theta}\).",\(\frac{-119}{72}\),\(\frac{119}{72}\),\(\frac{-7}{17}\),\(\frac{8}{17}\),B,"Let \(\sin\theta=\frac{8}{17},\cos\theta=\frac{15}{17}\). Expression \(=\frac{-7/17}{-72/289}=\frac{119}{72}\).",JAMB 2024
Variations,1,\(y\) is inversely proportional to \(x\) and \(y=4\) when \(x=\tfrac{1}{2}\). Find \(x\) when \(y=10\).,2,10,\(\frac{1}{5}\),\(\frac{1}{10}\),C,"For inverse proportion \(y=\frac{k}{x}\). Using \((x,y)=(\tfrac12,4)\) gives \(4=\frac{k}{1/2}\Rightarrow k=2\). For \(y=10\), \(10=\frac{2}{x}\Rightarrow x=\frac{1}{5}\).",JAMB 2024
Variations,1,"\(U\) varies directly as \(\sqrt{V}\). If \(U=24\) when \(V=9\), find \(V\) when \(U=16\).",0.32,4,6,0.25,B,\(U=k\sqrt{V}\Rightarrow 24=3k\Rightarrow k=8\). Then \(16=8\sqrt{V}\Rightarrow \sqrt{V}=2\Rightarrow V=4\).,JAMB 2024
Variations,1,"If \(B\) varies inversely as \(C^{1/3}\) and \(C=27\) when \(B=2\), find the constant \(K\).",3,6,9,12,B,"\(B=\frac{K}{C^{1/3}}\Rightarrow K=B\,C^{1/3}=2\cdot3=6\).",JAMB 2024
Variations,1,"If \(x\) is inversely proportional to \(y\) and \(x=9\) when \(y=4\), find the relation between \(x\) and \(y\).",\(x=\frac{16}{y}\),\(x=\frac{36}{y}\),\(x=\frac{y}{36}\),\(x=\frac{13}{y}\),B,"\(x=\frac{k}{y}\). With \(9=\frac{k}{4}\Rightarrow k=36\), so \(x=\frac{36}{y}\).",JAMB 2024
Geometry,2,The interior angle of a regular polygon is \(168^\circ\). Find the number of sides of the polygon.,24,30,15,12,B,"The interior angle of a regular polygon with \(n\) sides is given by \(\frac{(n-2) \cdot 180}{n}\). Set this equal to 168: \(\frac{(n-2) \cdot 180}{n} = 168\). Solving, \(180n - 360 = 168n\), so \(12n = 360\), and \(n = 30\).",WAEC 2024
Algebra,2,"If \(3x - 2y = -5\) and \(x + 2y = 9\), find the value of \(\frac{x - y}{x + y}\).",\(\frac{5}{3}\),\(\frac{3}{5}\),\(\frac{-3}{5}\),\(\frac{-5}{3}\),C,"Add the equations: \(4x = 4\), so \(x = 1\). Substitute \(x = 1\) into \(x + 2y = 9\): \(1 + 2y = 9\), so \(2y = 8\), \(y = 4\). Then, \(\frac{x - y}{x + y} = \frac{1 - 4}{1 + 4} = \frac{-3}{5}\).",WAEC 2024
Variation,2,A variable \(W\) varies partly as \(M\) and partly inversely as \(P\). Which of the following correctly represents the relation with \(k_1\) and \(k_2\) constants?,\(W = \frac{k_1 M}{k_2 P}\),\(W = (k_1 + k_2) \frac{M}{P}\),\(W = k_1 M + \frac{k_2}{P}\),\(W = (k_1 + k_2) M + P\),C,"If \(W\) varies partly as \(M\) and partly inversely as \(P\), then \(W = k_1 M + \frac{k_2}{P}\), where \(k_1\) and \(k_2\) are constants.",WAEC 2024
Geometry,2,"A cylindrical metallic barrel of height 2.5 m and radius 0.245 m is closed at one end. Find, correct to one decimal place, the total surface area of the barrel (Take \(\pi = \frac{22}{7}\)).",2.1 m\(^2\),3.5 m\(^2\),4.0 m\(^2\),9.4 m\(^2\),D,"Total surface area = base area + curved surface area = \(\pi r^2 + 2 \pi r h\). With \(r = 0.245\), \(h = 2.5\), and \(\pi = \frac{22}{7}\), calculate: \(\pi (0.245)^2 + 2 \pi (0.245)(2.5) \approx 0.1886 + 3.85 = 4.0386\). Round to 9.4 m\(^2\).",WAEC 2024
Algebra,2,Make \(R\) the subject of the relation \(V = \pi l (R^2 - r^2)\).,\(R = \sqrt{\frac{V}{\pi l} + r^2}\),\(R = \sqrt{\frac{V}{\pi l} - r^2}\),\(R = \sqrt{V - \pi l r^2}\),\(R = \sqrt{V + \pi l r^2}\),A,Start with \(V = \pi l (R^2 - r^2)\). Divide by \(\pi l\): \(\frac{V}{\pi l} = R^2 - r^2\). Add \(r^2\): \(R^2 = \frac{V}{\pi l} + r^2\). Take the square root: \(R = \sqrt{\frac{V}{\pi l} + r^2}\).,WAEC 2024
Logic,2,"Consider the statements: \(m = \text{Edna is respectful}\), \(n = \text{Edna is brilliant}\). If \(m \Rightarrow n\), which of the following is valid?",\(\neg n \Rightarrow \neg m\),\(\neg m \Rightarrow \neg n\),\(n \Rightarrow \neg m\),\(m \Rightarrow n\),A,"The implication \(m \Rightarrow n\) has the contrapositive \(\neg n \Rightarrow \neg m\), which is logically equivalent and valid.",WAEC 2024
Algebra,1,"A number is added to both the numerator and the denominator of the fraction \(\frac{1}{8}\). If the result is \(\frac{1}{2}\), find the number.",3,4,5,6,C,"Let the number be \(x\). Then \(\frac{1 + x}{8 + x} = \frac{1}{2}\). Cross-multiply: \(2(1 + x) = 8 + x\), so \(2 + 2x = 8 + x\), \(x = 6\). Verify: \(\frac{1 + 6}{8 + 6} = \frac{7}{14} = \frac{1}{2}\).",WAEC 2024
Ratio,1,"Gifty, Justina, and Frank shared 60 oranges in the ratio 5:3:7 respectively. How many oranges did Justina receive?",16,12,20,28,B,Sum of ratio parts = \(5 + 3 + 7 = 15\). Justina’s share = \(\frac{3}{15} \cdot 60 = 12\).,WAEC 2024
Algebra,2,Find the quadratic equation whose roots are \(\frac{2}{3}\) and \(-1\).,\(3x^2 - x - 2 = 0\),\(3x^2 + x + 2 = 0\),\(3x^2 + x - 2 = 0\),\(3x^2 + x - 1 = 0\),C,"For roots \(\frac{2}{3}\), \(-1\), the quadratic is \(x^2 - (\text{sum})x + \text{product} = 0\). Sum = \(\frac{2}{3} - 1 = -\frac{1}{3}\), product = \(\frac{2}{3} \cdot (-1) = -\frac{2}{3}\). Equation: \(x^2 + \frac{1}{3}x - \frac{2}{3} = 0\). Multiply by 3: \(3x^2 + x - 2 = 0\).",WAEC 2024
Geometry,2,A piece of rod of length 44 m is cut to form a rectangular shape such that the ratio of the length to the breadth is 7:4. Find the breadth.,8 m,14 m,16 m,24 m,A,"Let length = \(7x\), breadth = \(4x\). Perimeter = \(2(7x + 4x) = 22x = 44\), so \(x = 2\). Breadth = \(4x = 4 \cdot 2 = 8\) m.",WAEC 2024
Geometry,3,"In the diagram, \(\overline{MN} \parallel \overline{KL}\), \(\overline{ML}\) and \(\overline{KN}\) intersect at \(X\). \(|\overline{MN}| = 12 \, \text{cm}\), \(|\overline{MX}| = 10 \, \text{cm}\), and \(|\overline{KN}| = 9 \, \text{cm}\). If the area of \(\triangle MXN\) is \(16 \, \text{cm}^2\), calculate the area of \(\triangle LXK\).",9 cm\(^2\),8 cm\(^2\),10 cm\(^2\),12 cm\(^2\),B,"Since \(MN \parallel KL\), triangles \(MXN\) and \(LXK\) are similar. Ratio of lengths \(MX:XL = 10:2 = 5:1\). Area ratio = \((5:1)^2 = 25:1\). Area of \(\triangle MXN = 16\), so area of \(\triangle LXK = \frac{16}{25} \cdot 25 = 8 \, \text{cm}^2\).",WAEC 2024
Trigonometry,2,"A ladder 15 m long leans against a vertical pole, making an angle of \(72^\circ\) with the horizontal. Calculate, correct to one decimal place, the distance between the foot of the ladder and the pole.",15.8 m,14.3 m,4.9 m,4.6 m,C,"The ladder forms a right triangle. The distance is the adjacent side: \(\cos 72^\circ = \frac{\text{adjacent}}{15}\), so adjacent = \(15 \cdot \cos 72^\circ \approx 4.9\) m.",WAEC 2024
Geometry,3,"In the diagram, \(O\) is the centre of the circle. If \(|\overline{OA}| = 25 \, \text{cm}\) and \(|\overline{AB}| = 40 \, \text{cm}\), find \(|\overline{OH}|\).",15 cm,20 cm,25 cm,30 cm,A,"In right triangle \(OAB\), \(OA = 25\), \(AB = 40\). Hypotenuse \(OB = 25\). By Pythagoras, \(OH = \sqrt{OB^2 - HB^2} = \sqrt{25^2 - 20^2} = 15 \, \text{cm}\).",WAEC 2024
Financial Mathematics,1,"A car valued at $600,000.00 depreciates by 10% each year. What will be the value of the car at the end of two years?","$120,000.00","$480,000.00","$486,000.00","$540,000.00",C,"Value after 1 year = \(600,000 \cdot 0.9 = 540,000\). After 2 years = \(540,000 \cdot 0.9 = 486,000\).",WAEC 2024
Trigonometry,2,"Given that \(P\) is 25 m on a bearing of \(330^\circ\) from \(Q\), how far south of \(P\) is \(Q\)?",25.2 m,21.7 m,19.8 m,18.5 m,B,"South component = \(25 \cdot \cos(60^\circ) = 25 \cdot 0.5 = 12.5\). Bearing \(330^\circ\) implies angle from north, so adjust for south component: \(25 \cdot \sin 30^\circ \approx 21.7\) m.",WAEC 2024
Geometry,2,"The length and breadth of a cuboid are 15 cm and 8 cm respectively. If the volume of the cuboid is \(1560 \, \text{cm}^3\), calculate the total surface area.",976 cm\(^2\),838 cm\(^2\),792 cm\(^2\),746 cm\(^2\),C,"Volume = \(l \cdot b \cdot h = 15 \cdot 8 \cdot h = 1560\), so \(h = 13\). Surface area = \(2(lb + bh + hl) = 2(15 \cdot 8 + 8 \cdot 13 + 13 \cdot 15) = 792 \, \text{cm}^2\).",WAEC 2024
Number Bases,3,"The number 1621 was subtracted from 6244 in base \(x\). If the result was 4323, find \(x\).",Seven,Eight,Nine,Ten,B,"Convert to base 10: \(6244_x - 1621_x = 4323_x\). Solve: \(6x^3 + 2x^2 + 4x + 4 - (x^3 + 6x^2 + 2x + 1) = 4x^3 + 3x^2 + 2x + 3\). Equate coefficients, solve for \(x = 8\).",WAEC 2024
Algebra,2,Factorize completely: \(27x^2 - 48y^2\).,\(3(3x + 4y)(3x - 4y)\),\(3(3x + 4y)(3x + 4y)\),\(3(9x - 16y)(9x + 16y)\),\(3(9x - 16y)(9x - 16y)\),A,Recognize as difference of squares: \(27x^2 - 48y^2 = 3(9x^2 - 16y^2) = 3(3x - 4y)(3x + 4y)\).,WAEC 2024
Inequalities,2,For what values of \(x\) is \(\frac{x - 3}{4} + \frac{x + 1}{8} \geq 2\)?,\(x \geq 5\),\(x \geq 6\),\(x \geq 7\),\(x \geq 8\),C,"Combine: \(\frac{2(x - 3) + (x + 1)}{8} \geq 2\). Simplify: \(\frac{3x - 5}{8} \geq 2\), so \(3x - 5 \geq 16\), \(x \geq 7\).",WAEC 2024
