question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
ENG-0104,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What was Mr Bepo's long-term professional goal before considering migration?,,Becoming the MD of Stardom Schools,Starting his own school,Writing a book on educational reform,Retiring early and moving to his hometown,B,,jamb|2025,past-question,active
ENG-0105,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"What does Chief Ogba demand after his son, Tosh, is publicly insulted?",,A formal apology and publication in the school magazine,The immediate suspension of the student who insulted his son,Financial compensation from the school,Immediate expulsion of the guilty student,A,,jamb|2025,past-question,active
ENG-0106,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,How does the novel use irony to critique migration?,,It shows how people regret leaving Nigeria.,It portrays Nigerian schools as superior to foreign institutions.,It contrasts the excitement of moving abroad with the struggles people face when they get there.,It portrays that migration is always a failure.,C,,jamb|2025,past-question,active
ENG-0107,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why does the MD call an emergency meeting after discovering the cars at the school's land?,,She believes they are using stolen school funds.,She want to commend them for financial growth.,She plans to reduce the teachers' salaries.,She is concerned about the teachers becoming financially independent,D,,jamb|2025,past-question,active
ENG-0108,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Who makes up the board of Stardom Schools?,,Independent education experts,A mix of educators and business investors,The MD's family members,Parents and essential stakeholders,C,,jamb|2025,past-question,active
ENG-0109,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What did Bepo do before meeting with the director of Beesway the morning after he encountered the ritual practice?,,He informed the police about the ritual activities.,He prayed for protection.,He moved his belongings out of the school.,He wrote a resignation letter.,C,,jamb|2025,past-question,active
ENG-0110,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Which poem came to Bepo's mind on his way to renew his passport?,,Ibadan by J.P Clark,Night Rain by J.P Clark,Abiku by Wole Soyinka,Vanity by Birago Diop,A,,jamb|2025,past-question,active
ENG-0111,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What was Mr. Fafore's strategy to ensure that he came early to school even though he lives far away?,,He slept in his car overnight,He woke up very early,He rented an apartment near the school,He set multiple alarms on his phone,B,,jamb|2025,past-question,active
ENG-0112,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Which of the following is NOT one of Bepo's ideas about teaching?,,Education should be student-centered,Excursions enhance the learning experience,Teachers should maintain a strict authoritarian approach,Learning should be hands-on and engaging,C,,jamb|2025,past-question,active
ENG-0113,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why did Bepo choose to renew his passport in Ibadan?,,It was more expensive to renew it in Lagos,He wanted to avoid the long queues in Lagos,He had family in Ibadan,He was transferred to the office in Ibadan,B,,jamb|2025,past-question,active
ENG-0114,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why did Stardom School stop the usual democratic election process for prefects?,,Some students were engaging in negative campaigning,The school wanted teachers to appoint the prefects instead.,The Ministry of Education mandated a new selection process,Parents demanded to be involved in selecting the prefects,A,,jamb|2025,past-question,active
ENG-0115,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why did Bepo spend the electricity tariff money he collected from his tenants?,,He was out of a job and had no savings.,He needed to pay for his child's school fees,He used it for urgent medical expenses,He mistakenly misplaced the money,A,,jamb|2025,past-question,active
ENG-0116,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,The following were hairstyles that Mrs Ignatius learnt in preparation for her migration abroad except,,Agbadarigi,Kojusoko,Onilegogoro,Suku,A,,jamb|2025,past-question,active
ENG-0117,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"What did Bepo's fellow tenant, Iya Matthew, pour on his head after he had embezzled the compound's electricity tariff?",,A bowl of pie,A bucket of water,A bowl of elubo,Fistfuls of sand,C,,jamb|2025,past-question,active
ENG-0118,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What was the topic of the debate at Bepo's send-off?,,Migration: A curse or a blessing?,Who shapes the future: Teachers or parents?,The arts have contributed more to national development than the science,Public schools vs. private schools: Which is better?,C,,jamb|2025,past-question,active
ENG-0119,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What eventually happened to Mr Ogo in the novel?,,He was arrested for murder,He relocated to the UK successfully,He became a pastor,He opened a new private school,A,,jamb|2025,past-question,active
