question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
LIT-0058,JAMB,Literature,Prose,Redemption Road,medium,2025,,This question is based on Redemption Road. What is the significance of Cobra's polite and religious demeanour after the war?,,It confirms his legal innocence,It shows he has been reformed,It disguises unresolved guilt and denial,It prepares him for exile,C,,jamb|2025,past-question,active
LIT-0059,JAMB,Literature,Prose,So the Path Does Not Die,medium,2025,,This question is based on So the Path Does Not Die. Which of the following characters consistently defends African traditions?,,Edna,Fina,Baramusu,Nabou,C,,jamb|2025,past-question,active
LIT-0060,JAMB,Literature,Poetry,Poem: Night,medium,2025,,"This question is based on Night. ""Faceless, silent as night thieves"" contributes to which theme in the poem?",,Celebration of community,Justice and truth,Vulnerability and fear,Freedom and self-expression,C,,jamb|2025,past-question,active
LIT-0061,JAMB,Literature,Prose,Path of Lucas: The Journey He Endured,medium,2025,,This question is based on Path of Lucas. What is the deeper symbolic implication of Lucy's coma?,,A critique of medical incompetence,A symbol of past sins,A metaphor for emotional disconnect between generations,A reflection of her guilt,C,,jamb|2025,past-question,active
LIT-0062,JAMB,Literature,Literary Devices/Terminology,,medium,2025,,"When two statements or comparisons are apparently contradictory, we have an example of:",,irony,paradox,parallelism,contrast,B,,jamb|2025,past-question,active
LIT-0063,JAMB,Literature,Prose,Redemption Road,medium,2025,,This question is based on Redemption Road. What does Benji's story reveal about the long-term consequences of political silence?,,Silence protects dignity,Silence fosters reconciliation,Silence secures promotions,Silence can lead to invisibility and forgotten sacrifices,D,,jamb|2025,past-question,active
LIT-0064,JAMB,Literature,Poetry,Poem: She Walks in Beauty (Byron),medium,2025,,"This question is based on She Walks in Beauty. What does the poet mean by ""all that's best of dark and bright""?",,The woman is both good and evil,She is indecisive in character,She reflects a perfect balance of opposites,Her personality is confusing,C,,jamb|2025,past-question,active
LIT-0065,JAMB,Literature,Prose,Path of Lucas: The Journey He Endured,medium,2025,,This question is based on Path of Lucas. What does Lucas's refusal to remarry after Isabelle's death reveal about his core values?,,He is socially pressured,His loyalty and emotional fidelity transcend death,He feels guilty for her illness,He resents women,B,,jamb|2025,past-question,active
LIT-0066,JAMB,Literature,Drama,Antony and Cleopatra,medium,2025,,"This question is based on Antony and Cleopatra. In Act III, Scene II, Antony blames Cleopatra for:",,Betraying him to Octavius,Marrying Caesar in secret,Encouraging war with Lepidus,Causing the loss at Actium by fleeing,D,,jamb|2025,past-question,active
LIT-0067,JAMB,Literature,Poetry,Poem: Once Upon a Time,medium,2025,,"This question is based on Once Upon a Time. ""I have learned to wear many faces / like dresses..."" uses which poetic device?",,Hyperbole,Simile,Irony,Metonymy,B,,jamb|2025,past-question,active
LIT-0068,JAMB,Literature,Drama,Antony and Cleopatra,medium,2025,,"This question is based on Antony and Cleopatra. Enobarbus: ""Caesar's whole fleet's at sea: / Well spread and almost yare. For he's not dumb, / That tells my departure."" Agrippa: ""Let's grant it is not / Amiss to tumble on the bed of Ptolemy; / To give a kingdom for a mirth, to sit / And keep the turn of tippling with a slave..."" What tone is used in the above excerpt and why?",,"Regretful, Caesar wishes to reconcile","Formal, discussing royal marriages","Dramatic, urging Antony to return to war","Sarcastic, mocking Antony's loss of dignity",D,,jamb|2025,past-question,active
LIT-0069,JAMB,Literature,Poetry,Poem: The Breasts of the Sea,medium,2025,,"This question is based on The Breasts of the Sea. The image ""coelacanth was recaptured"" suggests:",,A mythological event,Humanity's domination of all species,The rediscovery of something ancient and resilient,A failed military operation,C,,jamb|2025,past-question,active
LIT-0070,JAMB,Literature,Poetry,Poem: Ibadan (J.P. Clark),medium,2025,,"'Ibadan, running splash of rust and gold - flung and scattered among seven hills like broken china in the sun.' J.P. Clark, 'Ibadan'. The poem above is memorable for its:",,Metaphor,Heroism,Pun,Lyricism,D,,jamb|2025,past-question,active
