question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
PHY-0058,JAMB,Physics,Mechanics,Pressure in Fluids,medium,2025,,"What pressure would a \(5000\text{N}\) weight of water exert at the bottom of a reservoir containing it if its length and breadth are \(10\text{m}\) and \(5\text{m}\), respectively?",,\(200\text{Pa}\),\(182\text{Pa}\),\(100\text{Pa}\),\(120\text{Pa}\),C,,jamb|2025,past-question,active
PHY-0059,JAMB,Physics,Waves,Standing Waves,easy,2025,,Standing waves are produced by,,Waves that vibrate in a vertical plane (standing upright),The motion of the source toward the observer,The motion of the source away from the observer,Waves that reflect off a boundary and interfere with themselves,D,,jamb|2025,past-question,active
PHY-0060,JAMB,Physics,Mechanics,Moments and Equilibrium,medium,2025,,"From the above figure, a uniform metre rule is suspended by two cords from a height. Calculate \(T\).",,\(11.25\text{N}\),\(14.8\text{N}\),\(19.24\text{N}\),\(16.77\text{N}\),C,,jamb|2025,past-question,active
PHY-0061,JAMB,Physics,Optics,Refraction,medium,2025,,"From the diagram above, the sine of the angle of refraction in glass is",,\(0.4\),\(0.3\),\(0.2\),\(0.1\),B,,jamb|2025,past-question,active
PHY-0062,JAMB,Physics,Waves,Speed of Sound,easy,2025,,What happens to the speed of sound in air when the pressure increases at a constant temperature?,,Unchanged,Increase,Reduce,Varies,A,,jamb|2025,past-question,active
PHY-0063,JAMB,Physics,Modern Physics,Semiconductors,easy,2025,,The operation of a photovoltaic cell is possible by the action of,,Semi-conductor,Conductors,Chemical,Insulators,A,,jamb|2025,past-question,active
PHY-0064,JAMB,Physics,Optics,Curved Mirrors,medium,2025,,A concave mirror of focal length \(20\text{cm}\) produces an erect image that is four times the object. The object distance from the mirror is,,less than \(20\text{cm}\),between \(20\text{cm}\) and \(30\text{cm}\),between \(30\text{cm}\) and \(40\text{cm}\),greater than \(40\text{cm}\),A,,jamb|2025,past-question,active
PHY-0065,JAMB,Physics,Mechanics,Vectors and Forces,medium,2025,,The resultant of the forces shown above is,,\(18.00\text{N}\),\(5.00\text{N}\),\(10.20\text{N}\),\(3.15\text{N}\),B,,jamb|2025,past-question,active
PHY-0066,JAMB,Physics,Electricity,Capacitance,medium,2025,,"A circular parallel plate capacitor with radius \(6\text{cm}\) is separated by \(0.12\text{cm}\). Calculate the capacitance of the capacitor \([\pi = 3.142,\ \varepsilon_0 = 8.85\times10^{-12}\text{Nm}^2\text{C}^2]\)",,\(4.3\times10^{-11}\text{F}\),\(5.1\times10^{11}\text{F}\),\(8.3\times10^{-11}\text{F}\),\(9.6\times10^{-11}\text{F}\),C,,jamb|2025,past-question,active
PHY-0067,JAMB,Physics,Heat/Thermodynamics,Specific Heat Capacity,medium,2025,,Calculate the specific heat capacity of a metal rod of mass \(0.025\text{kg}\) whose temperature was raised by \(15^\circ\text{C}\) when \(1000\text{J}\) of heat energy was added to the rod (assuming the heat loss to the surrounding is negligible),,\(2440.5\text{JKg}^{-1}\text{K}^{-1}\),\(3000.0\text{JKg}^{-1}\text{K}^{-1}\),\(2888.4\text{JKg}^{-1}\text{K}^{-1}\),\(2666.7\text{JKg}^{-1}\text{K}^{-1}\),D,,jamb|2025,past-question,active
PHY-0068,JAMB,Physics,Waves,Speed of Sound,medium,2025,,The speed of sound in air is \(60\text{m/s}\). How far from the centre of a storm is an observer who hears a thunder clap \(4\text{s}\) after the flash of the lightning?,,\(140\text{m}\),\(100\text{m}\),\(340\text{m}\),\(240\text{m}\),D,,jamb|2025,past-question,active
PHY-0069,JAMB,Physics,Heat/Thermodynamics,Thermometers,easy,2025,,Which of the following thermometer types best responds to a change in temperature?,,Mercury thermometer,Resistance thermometer,Gas thermometer,Alcohol thermometer,B,,jamb|2025,past-question,active
PHY-0070,JAMB,Physics,Optics,Pinhole Camera,medium,2025,,A \(25\text{cm}\) long pinhole camera produces one-fifth of an object's size. Calculate the object distance.,,\(20.49\text{m}\),\(2.82\text{m}\),\(4.23\text{m}\),\(1.25\text{m}\),D,,jamb|2025,past-question,active
PHY-0071,JAMB,Physics,Modern Physics,Wave-Particle Duality,hard,2025,,What is the mass of a particle with speed \(2.7\times10^{8}\text{m/s}\) and wavelength \(4.0\times10^{-7}\text{mm}\)? \((h = 6.63\times10^{-34}\text{Js})\),,\(2.6\times10^{-27}\text{Kg}\),\(6.1\times10^{-31}\text{Kg}\),\(3\times10^{-22}\text{Kg}\),\(7\times10^{-20}\text{Kg}\),B,,jamb|2025,past-question,active
