question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
GEO-0003,JAMB,Geography,Physical Geography,Coastal Landforms,medium,2025,,A typical example of landforms produced by marine erosion is a,,stack,spit,beach,mud-flat,A,,jamb|2025,past-question,active
GEO-0004,JAMB,Geography,Map Reading,Surveying Methods,medium,2025,,The main advantage of the chain survey over the prismatic compass survey is that the former,,does not require a base map,yields relatively more accurate results,closes its boundaries with no correction,involves highly more portable equipment,B,,jamb|2025,past-question,active
GEO-0005,JAMB,Geography,Population/Settlement,Population Density,medium,2025,,"On a population map of the world, all but one of the following appear generally as regions of low population density",,The Island of Java,The Amazon forests,The hot deserts,Antarctica,A,,jamb|2025,past-question,active
GEO-0006,JAMB,Geography,Economic Geography,Agriculture,medium,2025,,"Which of the following type of agriculture would you expect to find around a big city in an industrial society, such as in Europe?",,Dairy farming,Grain farming,Animal husbandry,Fish farming,A,,jamb|2025,past-question,active
GEO-0007,JAMB,Geography,Physical Geography,Glacial Landforms,medium,2025,,Smooth oval hills composed mainly of boulders or glacial sands and gravels are known as,,aretes,drumlins,moraines,eskers,B,,jamb|2025,past-question,active
GEO-0008,JAMB,Geography,Regional Geography of Nigeria/West Africa,Ghana Minerals,medium,2025,,Name the most important industrial mineral of Ghana,,Bauxite,Diamond,Gold,,C,,jamb|2025,past-question,active
GEO-0009,JAMB,Geography,Regional Geography of Nigeria/West Africa,Industrial Zones,medium,2025,,Which of the following zones is the least industrialized in Nigeria?,,Port Harcourt-Aba,Lokoja-Ajaokuta,Lagos-Ikeja,Kaduna-Zaria,B,,jamb|2025,past-question,active
GEO-0010,JAMB,Geography,Climate,Ocean Currents and Climate,medium,2025,,Which of the following most accurately describes the climate of coastal lands which are adjacent to cool ocean currents?,,monsoon rainfall pattern,"winter rain, summer drought",rain all year round,"summer rain, winter drought",B,,jamb|2025,past-question,active
GEO-0011,JAMB,Geography,Physical Geography,Weathering,medium,2025,,Two factors that promote rapid chemical weathering in the tropics are,,high temperature and high humidity,low temperature and high humidity,high temperature and extreme aridity,high temperature and low humidity,A,,jamb|2025,past-question,active
GEO-0012,JAMB,Geography,Population/Settlement,Population Growth,medium,2025,,Which of the following factors must account for the rapid increase in world population during the twentieth century?,,Increasing world production of food,The slave trade was abolished,Death rates have decreased rapidly,Birth rates have increased rapidly,C,,jamb|2025,past-question,active
GEO-0013,JAMB,Geography,Regional Geography of Nigeria/West Africa,Urban Settlement History,medium,2025,,Which of the following towns is NOT a pre-colonial town?,,Bida,Ilorin,Ibadan,Enugu,D,,jamb|2025,past-question,active
GEO-0014,JAMB,Geography,Economic Geography,Agriculture,medium,2025,,Mixed farming implies,,growing crops and rearing animals on a given land area,growing grains and root crops on the same piece of land,keeping poultry and rearing pigs on one and the same farm,"mixed cultivation of wheat, barley, and oats",A,,jamb|2025,past-question,active
GEO-0015,JAMB,Geography,Economic Geography,Agriculture,medium,2025,,In which of the following countries is commercial grain farming an important occupation?,,Spain,Canada,Kenya,Nigeria,B,,jamb|2025,past-question,active
GEO-0016,JAMB,Geography,Map Reading,Surveying Instruments,medium,2025,,The main use of the Abney Level in surveying is to determine the,,angle of inclination,area coverage,spot height,relative location,A,,jamb|2025,past-question,active
GEO-0017,JAMB,Geography,Physical Geography,Earth's Motions,medium,2025,,Which of the following phenomena is not directly related to the rotation of the Earth?,,night and day,varying duration of sunshine hours,seasonal changes,unequal solar radiation on the earth's surface,C,,jamb|2025,past-question,active
GEO-0018,JAMB,Geography,Physical Geography,Earth's Motions,medium,2025,,Which of the following phenomena is not directly related to the rotation of the Earth?,,night and day,varying duration of sunshine hours,seasonal changes,unequal solar radiation on the earth's surface,C,,jamb|2025,past-question,active
GEO-0019,JAMB,Geography,Map Reading,Isolines,medium,2025,,Temperature is to isotherms as air pressure is to,,isobars,isopleths,isolines,contours,A,,jamb|2025,past-question,active
GEO-0020,JAMB,Geography,Population/Settlement,Population Growth,medium,2025,,Which of the following factors least explains the fast-growing population in Africa?,,the education of women,control of diseases,improvement in transportation,decline in death rate,C,,jamb|2025,past-question,active
GEO-0021,JAMB,Geography,Economic Geography,Agriculture,medium,2025,,What does subsistence agriculture mean?,,Agricultural production for household consumption,Agricultural production for cash,Extensive agriculture,Intensive agriculture,A,,jamb|2025,past-question,active
GEO-0022,JAMB,Geography,Economic Geography,World Industrial Regions,medium,2025,,Pick out the incorrect statement,,Scandinavia is noted for its hardwood timber,The North Sea is a great fishing area,Katanga is a copper mining region,The Ruhr is a great industrial region,A,,jamb|2025,past-question,active
GEO-0023,JAMB,Geography,Regional Geography of Nigeria/West Africa,Middle Belt,medium,2025,,Which statement is NOT true of the Middle Belt in Nigeria,,The soil is not productive,there are insect pests and disease carriers,the population is sparse,none of the above,D,,jamb|2025,past-question,active
GEO-0024,JAMB,Geography,Climate,West Africa Rainfall,medium,2025,,Which of the following has the highest mean annual rainfall?,,Lagos,Accra,Freetown,Lome,C,,jamb|2025,past-question,active
GEO-0025,JAMB,Geography,Economic Geography,South Africa Exports,medium,2025,,Which is not exported by the Republic of South Africa?,,Wines,Maize,Coffee,Wool,C,,jamb|2025,past-question,active
GEO-0026,JAMB,Geography,Climate,Equatorial Climate Agriculture,medium,2025,,Which pair of activities would you NOT find in an equatorial climate? 1. Commercial grain farming. 2. rice cultivation. 3. lumbering. 4. plantation agriculture. 5. dry farming,,3 and 4,2 and 5,1 and 2,1 and 5,D,,jamb|2025,past-question,active
GEO-0027,JAMB,Geography,Physical Geography,Ocean Currents,medium,2025,,Which of the following currents has a warming influence upon the coast along which it flows?,,Benguela current,Labrador current,Canaries current,Mozambique current,D,,jamb|2025,past-question,active
GEO-0028,JAMB,Geography,Regional Geography of Nigeria/West Africa,Trade,medium,2025,,Inter-regional trade between countries in West Africa is promoted mainly by,,competition among the nations in Africa,production of similar goods,deliberate government policies in recent times,relationship with former colonial rulers,C,,jamb|2025,past-question,active
GEO-0029,JAMB,Geography,Economic Geography,Nile Valley,medium,2025,,What is the Nile Valley best known for?,,Industrial development,Water navigation,Hydro-electricity,Commerce,C,,jamb|2025,past-question,active
GEO-0030,JAMB,Geography,Physical Geography,Mountain Building,medium,2025,,How were the major mountain belts of the world produced?,,By wind erosion,By glacial erosion,By Folding,By weathering,C,,jamb|2025,past-question,active
GEO-0031,JAMB,Geography,Economic Geography,Transportation in Africa,medium,2025,,Which ONE of the following statements about the railway lines of Africa is false?,,The railway lines of Africa generally run from the coast inland,There is no trans-continental railway in Africa which can be compared with the Trans-Siberian Railway in length or importance,Africa's railway lines are all of uniform gauge,Few railway lines in Africa cross from one country to another,C,,jamb|2025,past-question,active
GEO-0032,JAMB,Geography,Regional Geography of Nigeria/West Africa,Middle Belt,medium,2025,,The Middle Belt of West Africa is NOT characterised by one of the following. Which one?,,Few large towns,Low population densities,Much export crop production,Ethnic fragmentation,C,,jamb|2025,past-question,active
