question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
ENG-0154,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"When the director of Beesway references the Yoruba proverb about vegetables plucked from a dumpsite, what was he trying to communicate to Bepo?",,Vegetable are expensive,People who feel guilty defend what wasn't questioned,People on the bottom can be destined to do greater things,Looks can be deceiving,B,,jamb|2025,past-question,active
ENG-0155,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"What figure of speech is used in ""He would look at the ceiling and at the faces before him, as though he had just returned from a dreamy wonderland""?",,Personification,Irony,Simile,Metaphor,C,,jamb|2025,past-question,active
ENG-0156,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"""Mr. Audu, the Fine Arts teacher, who was a bunch of biting humour…"" What does this description of Mr Audu mean?",,He always made friendly remarks,"He is sarcastic and has sharp, critical wit",He is known for his apt innuendos,He often made unintelligible remarks,B,,jamb|2025,past-question,active
ENG-0157,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"""…his foot-dragging over the matter had pushed his marriage to the brink."" What does ""foot-dragging"" mean as used in the novel?",,quick decision making,unnecessary excitement,thoughtful consideration,reluctance to act promptly,D,,jamb|2025,past-question,active
ENG-0158,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"Mrs. Ibidun Gloss expressed deep appreciation to Bepo for contributing what she called an ""unrivalled quota"" to the growth of Stardom. What does ""unrivalled quota"" as used in the novel mean?",,Bepo's incomparable and exceptional contribution to the growth of the school,His savings over the years which is not comparable to the contributions of others,His impactful contribution to the development of the school's building,His buying of a large chunk of the school's shares,A,,jamb|2025,past-question,active
ENG-0159,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"Which of the following is not a figure of speech used in J.P. Clark's poem ""Ibadan"" as referenced in the novel?",,Metaphor,Simile,Imagery,Onomatopoeia,D,,jamb|2025,past-question,active
ENG-0160,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,This question is based on Kabir Alabi Garba's The Lekki Headmaster. The following are current socio-economic realities depicted in the novel except,,The declining condition of Nigerian universities,The Japa trend,Bureaucracy,The struggles of middle-class professionals,A,,jamb|2025,past-question,active
ENG-0161,JAMB,English,Reading Comprehension,Birds (comprehension passage),medium,2025,,One of the first things a child notices in birds is,,noise,nests,feeding trait,colour,A,,jamb|2025,past-question,active
ENG-0162,JAMB,English,Reading Comprehension,Birds (comprehension passage),medium,2025,,What makes it easy to identify a species of birds in the wood?,,the shape of their beaks,their characteristic calls with practice,their mode of feeding,the colour of their feathers,B,,jamb|2025,past-question,active
ENG-0163,JAMB,English,Reading Comprehension,Birds (comprehension passage),medium,2025,,Flocks of finches could easily become separated,,when they get injured by other birds,when they get hungry after being separated from other birds,when they see predators hovering in the sky,when they hunt for insects or seeds on the branches of trees,D,,jamb|2025,past-question,active
ENG-0164,JAMB,English,Reading Comprehension,Birds (comprehension passage),medium,2025,,The small birds have,,a particular type of call,different alarm calls,a similar alarm call,sonorous songs,A,,jamb|2025,past-question,active
ENG-0165,JAMB,English,Reading Comprehension,Birds (comprehension passage),medium,2025,,"When a bird of prey is sighted, a small bird",,flies away,starts making a nest,hides in its nest,calls its mates,D,,jamb|2025,past-question,active
ENG-0166,JAMB,English,Cloze Test,UN Security Council,medium,2025,,"The Security _____ has a primary responsibility, under the UN Charter, for the maintenance of international peace and security.",,Unit,Council,Department,Committee,B,,jamb|2025,past-question,active
ENG-0167,JAMB,English,Cloze Test,UN Security Council,medium,2025,,"The Security Council has a primary responsibility, under the UN Charter, for the maintenance of international _____ and security.",,relation,affairs,peace,relationship,C,,jamb|2025,past-question,active
ENG-0168,JAMB,English,Cloze Test,UN Security Council,medium,2025,,"The Security Council has a primary responsibility, under the UN Charter, for the maintenance of international peace and _____.",,safety,unity,security,progress,C,,jamb|2025,past-question,active
ENG-0169,JAMB,English,Cloze Test,UN Security Council,medium,2025,,It has fifteen _____—five permanent and ten non-permanent.,,member,personnel,members,states,C,,jamb|2025,past-question,active
ENG-0170,JAMB,English,Cloze Test,UN Security Council,medium,2025,,Each Member has one _____.,,assent,vote,consent,voice,B,,jamb|2025,past-question,active
ENG-0171,JAMB,English,Cloze Test,UN Security Council,medium,2025,,"Under the _____, all Member States are obligated to comply with Council decisions.",,charter,league,unit,directorate,A,,jamb|2025,past-question,active
ENG-0172,JAMB,English,Cloze Test,UN Security Council,medium,2025,,The Security Council takes the lead in determining the existence of a _____ to the peace or act of aggression.,,threat,agitation,violence,fear,A,,jamb|2025,past-question,active
