question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
ECO-0003,JAMB,Economics,Market Structures,Monopoly,medium,2025,,Which of the following statements is not a feature of a monopoly?,,New entrances are restricted,Buyers and seller are price takers,There is only one seller of the commodity,Seller is allowed to fix his own price,B,,jamb|2025,past-question,active
ECO-0004,JAMB,Economics,Production,Division of Labour,medium,2025,,The specialisation of labour enhances production because people,,become experts in all areas of production,can efficiently produce their own needs,can save time and produce more,can concentrate on all goods they can produce better,C,,jamb|2025,past-question,active
ECO-0005,JAMB,Economics,Demand and Supply,Joint Supply,medium,2025,,"If in the short-run commodity X and commodity Y are supplied jointly, which of the following is correct?",,An increase in demand for Y will raise the price of X,An increase in demand for X will cause less of Y to be produced,An increase in demand for X will increase supply of Y,An increase in demand of X will leave the supply of Y unchanged,C,,jamb|2025,past-question,active
ECO-0006,JAMB,Economics,Basic Economic Concepts,Forms of Business Organization (Co-operatives),medium,2025,,The Consumers Co-operative society is owned by?,,Members of the society,Debenture holders,A management committee,The government,A,,jamb|2025,past-question,active
ECO-0007,JAMB,Economics,Basic Economic Concepts,Economic Systems,medium,2025,,"In a free market economy, resources are allocated through the",,state planning committee,government department,price mechanism,trade union,C,,jamb|2025,past-question,active
ECO-0008,JAMB,Economics,Public Finance,Privatization,medium,2025,,Which of the following is not an argument for the policy of privatization in West Africa?,,To make businesses more profitable,Government is able to participate and control the operation of the privatized businesses,It encourages the inflow of capital and expertise from local and foreign sources,Members of the public are able to acquire shares,B,,jamb|2025,past-question,active
ECO-0009,JAMB,Economics,Money and Banking,Development Banks,medium,2025,,The primary objective of the Nigerian Industrial Development Bank (NIDB) is the provision of loans to?,,Estate agents,Transporters,Farmers,Manufacturers,D,,jamb|2025,past-question,active
ECO-0010,JAMB,Economics,Economic Development,Population and Migration,medium,2025,,Net migration is the difference between,,Per capita income and population,Internal and external migration,Population and census,Immigrants and Emigrants,D,,jamb|2025,past-question,active
ECO-0011,JAMB,Economics,Demand and Supply,Economic Functions and Graphs,medium,2025,,The graph of the function X = a + bY is,,linear,quadratic,exponential,cubical,A,,jamb|2025,past-question,active
ECO-0012,JAMB,Economics,International Trade,Balance of Trade,medium,2025,,The balance of trade is,,an annual statement showing transaction within a country,the relationship between a country's receipt from visible and invisible trade,an account that shows a country's payment to other countries,the relationship between a country's visible exports and imports,D,,jamb|2025,past-question,active
ECO-0013,JAMB,Economics,Money and Banking,Inflation,medium,2025,,Cost push inflation is caused by a,,decrease in the cost of production,rise in demand for goods,decrease in the transportation cost,rise in the cost of production,D,,jamb|2025,past-question,active
ECO-0014,JAMB,Economics,Money and Banking,Functions and Characteristics of Money,medium,2025,,Cheques are not money because?,,Their use is confined to business hours,They are not generally acceptable as a medium of exchange,There are few banks in the rural areas,They are not issued by the government,B,,jamb|2025,past-question,active
ECO-0015,JAMB,Economics,Economic Development,Structure of Developing Economies,medium,2025,,"The poorer the country, the larger the percentage of labour force engaged in",,manufacturing,trading,agriculture,mining,C,,jamb|2025,past-question,active
ECO-0016,JAMB,Economics,Demand and Supply,Shifts in Demand,medium,2025,,Which of the following will shift the demand curve for cocoa to the right?,,An increase in consumers' income,A rise in the price of cocoa,A fall in the quantity demanded of cocoa,A tax on cocoa producers,A,,jamb|2025,past-question,active
ECO-0017,JAMB,Economics,International Trade,Commercial and Trade Policy,medium,2025,,An argument for the use of commercial policy rest on the need to,,make imported goods affordable,encourage the importation of non-essential goods,make a country enjoy absolute advantage in production of all goods,reduce domestic unemployment,D,,jamb|2025,past-question,active
ECO-0018,JAMB,Economics,Money and Banking,Capital Market / Stock Exchange,medium,2025,,A stock exchange is a market that,,deals with the exchange of commodities,deals with purchase and sales of securities,exchanges stockfish for lady fish,exchanges treasury bills for bills of exchange,B,,jamb|2025,past-question,active
ECO-0019,JAMB,Economics,Production,Location of Industry,medium,2025,,The following are all factors determining the location of industry except,,availability of labour,proximity to market,nearness to raw materials,minimum wages rate,D,,jamb|2025,past-question,active
ECO-0020,JAMB,Economics,International Trade,International Economic Organizations,medium,2025,,The full meaning of OPEC is,,Organization of Petrol Exporting Countries,Organization of Petroleum Exporting Countries,Oil and Petroleum Exporting Countries,Organic petroleum Exporting Countries,B,,jamb|2025,past-question,active
ECO-0021,JAMB,Economics,Production,Small-scale Business / Firms,medium,2025,,Small firms are important for the development of a country because,,they render personalized services to the consumers,they usually produce goods for the elite,they do not normally provide after sales services,the prices of their products are usually high,A,,jamb|2025,past-question,active
ECO-0022,JAMB,Economics,Economic Development,Malthusian Population Theory,medium,2025,,Positive check as envisaged by Thomas Malthus can be prevented if,,moral restraint is adopted,marriage is abolished,death rate is reduced,more hospitals are built,A,,jamb|2025,past-question,active
ECO-0023,JAMB,Economics,Basic Economic Concepts,Factors of Production (Land),medium,2025,,Land as a factor of production is made useful through the,,application of human effort,application of fertilizer,use of machines,acts of nature,A,,jamb|2025,past-question,active
ECO-0024,JAMB,Economics,Money and Banking,Inflation,medium,2025,,An indication that there is inflation in a country is that,,there is a decrease in the demand for goods and services,people prefer to lend than to borrow,the same amount of money buys lower quantity of goods,there are too many goods in circulation,C,,jamb|2025,past-question,active
ECO-0025,JAMB,Economics,Basic Economic Concepts,Utility Theory,medium,2025,,One relationship between marginal utility and total utility is that when total utility is,,"falling, marginal utility is negative","maximum, marginal utility is maximum","rising, marginal utility is rising","falling, marginal utility is rising",A,,jamb|2025,past-question,active
ECO-0026,JAMB,Economics,Production,Returns to Scale and Cost,medium,2025,,A firm's average cost decreases in the long-run because of,,decreasing marginal returns,diminishing average returns,increasing returns to scale,decreasing average fixed cost,C,,jamb|2025,past-question,active
ECO-0027,JAMB,Economics,Market Structures,Monopoly,medium,2025,,Monopoly can best be described as a market in which,,A single seller sells a product which has no close substitute,The entry of other firms is restricted by the few firms in the market,Two or more sellers sell a product which is differentiated,Few sellers sell a product s at different prices,A,,jamb|2025,past-question,active
