question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
GOV-0003,JAMB,Government,Electoral Systems,Voting Systems,medium,2025,,The first past the post system of voting is also referred to as,,single transferable voting system,simple majority method,alternative voting method,second ballot system,B,,jamb|2025,past-question,active
GOV-0004,JAMB,Government,Political Concepts/Theory,Economic/Political Systems,medium,2025,,A community that cooperates and harnesses its resources together is said to be practising,,capitalism,communism,communalism,socialism,C,,jamb|2025,past-question,active
GOV-0005,JAMB,Government,International Relations,African Union/OAU,medium,2025,,The African leaders formally marked the end of the Organisation of African Unity and replaced it with the African Union in,,10th August 2004,30th May 2006,8th July 2002,6th June 2000,C,,jamb|2025,past-question,active
GOV-0006,JAMB,Government,Nigerian Government/Politics,Civil Service,medium,2025,,A permanent structure that facilitates continuity in governance is the,,military,public corporations,judiciary,civil service,D,,jamb|2025,past-question,active
GOV-0007,JAMB,Government,Constitutional Government,Colonial Constitutions,medium,2025,,The two constitutions that provided for the election of four legislative members were,,Lyttleton and Clifford,Macpherson and Richard,Clifford and Richard,Macpherson and Lyttleton,C,,jamb|2025,past-question,active
GOV-0008,JAMB,Government,Nigerian Government/Politics,Public Corporations,medium,2025,,One of the functions of Public Corporation is to,,entertain public complaints,promote equality,prevent exploitation,provide essential service,D,,jamb|2025,past-question,active
GOV-0009,JAMB,Government,Nigerian Government/Politics,Federal Character Principle,medium,2025,,The appointments of qualified personnel into any federal establishment as a minister were to reflect the principle of,,Federal Character,Federal Commission,Federal Allocation,Federal Resources,A,,jamb|2025,past-question,active
GOV-0010,JAMB,Government,Political Parties/Pressure Groups,Action Group,medium,2025,,The pioneer president of the Action Group was,,Nnamdi Azikiwe,Obafemi Awolowo,Anthony Enahoro,Samuel Akintola,B,,jamb|2025,past-question,active
GOV-0011,JAMB,Government,International Relations,OPEC,medium,2025,,Nigeria was a member of,,ARAB League,EAC,NATO,OPEC,D,,jamb|2025,past-question,active
GOV-0012,JAMB,Government,Constitutional Government,Judiciary/Constitutions,medium,2025,,The Nigerian Supreme Court became the highest court of appeal in the,,1954 constitution,1945 constitution,1960 constitution,1963 constitution,D,,jamb|2025,past-question,active
GOV-0013,JAMB,Government,International Relations,Colonialism,medium,2025,,One of the major reasons for colonialism in Africa was,,economic interest,religious reasons,developmental drive,humanitarian factor,A,,jamb|2025,past-question,active
GOV-0014,JAMB,Government,International Relations,Nigerian Foreign Policy,medium,2025,,One major feature of Nigerian foreign policy is,,lack of cooperation among nations,the unrealistic economic policy,non-alignment with any of the power blocs,non-developing policies,C,,jamb|2025,past-question,active
GOV-0015,JAMB,Government,Political Parties/Pressure Groups,Pressure Groups,medium,2025,,Which of these is a professional pressure group in Nigeria?,,Nigerian Union of Teachers,Nigeria Labour Congress,Manufacturers Association of Nigeria,Arewa Consultative Forum,A,,jamb|2025,past-question,active
