question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
BIO-0003,JAMB,Biology,Animal Biology/Physiology,Thermoregulation,easy,2025,,The process that brings about the cooling effect on the body of mammals is,,sweat excretion,digestion,urine formation,respiration,A,,jamb|2025,past-question,active
BIO-0004,JAMB,Biology,Cell Biology,Nucleus Function,medium,2025,,Which of the following controls protein and enzyme syntheses in the cytoplasm of the cell?,,DNA,Nucleus,Chromosome,Mitochondria,B,,jamb|2025,past-question,active
BIO-0005,JAMB,Biology,Animal Biology/Physiology,Feeding Adaptations,medium,2025,,Use the diagram above to answer the question that follows. The structure labelled I is adapted for,,tearing,sieving,boring,sucking,D,,jamb|2025,past-question,active
BIO-0006,JAMB,Biology,Ecology,Feeding Relationships,easy,2025,,A complex feeding relationship between organisms in a habitat that involves transfer of energy in form of food is,,food web,pyramid of numbers,pyramid of energy,food chain,A,,jamb|2025,past-question,active
BIO-0007,JAMB,Biology,Plant Biology,Pollination,easy,2025,,One of the characteristics of insect pollinated flowers is,,large anthers,absence of nectar,scented flowers,scentless flowers,C,,jamb|2025,past-question,active
BIO-0008,JAMB,Biology,Plant Biology,Water Uptake/Osmosis,medium,2025,,The process by which plants absorb water from the soil through their roots is,,diffusion,photosynthesis,osmosis,transpiration,C,,jamb|2025,past-question,active
BIO-0009,JAMB,Biology,Plant Biology,Pollination/Reproduction,medium,2025,,The bright colouration of the flower of a flowering plant is an adaptation for,,reproduction,growth,excretion,respiration,A,,jamb|2025,past-question,active
BIO-0010,JAMB,Biology,Animal Biology/Physiology,Endocrine System,medium,2025,,Use the diagram above to answer the questions that follow. The endocrine gland that is located in the part labelled I is,,parathyroid,thyroid,pituitary,adrenal,C,,jamb|2025,past-question,active
BIO-0011,JAMB,Biology,Animal Biology/Physiology,Nervous System,medium,2025,,One of the components of peripheral nervous system is,,cerebellum,brain,spinal cord,sensory neurones,D,,jamb|2025,past-question,active
BIO-0012,JAMB,Biology,Plant Biology,Germination,medium,2025,,When the cotyledons appear above the soil during germination is called,,epicotyl,epigeal,hypocotyl,hypogeal,B,,jamb|2025,past-question,active
BIO-0013,JAMB,Biology,Animal Biology/Physiology,Teeth/Digestion,medium,2025,,The type of teeth used for tearing in man is labelled,,IV,III,I,II,D,,jamb|2025,past-question,active
BIO-0014,JAMB,Biology,Ecology,Habitat/Animal Behaviour,easy,2025,,Which of these animals create their natural habitats in burrows?,,Bush rat,Dove,Chameleon,Snails,A,,jamb|2025,past-question,active
BIO-0015,JAMB,Biology,Ecology,Camouflage/Adaptation,easy,2025,,The green-brown colour of grasshopper's body in dry grass field is an adaptation for,,camouflage,predation,mating,mimicry,A,,jamb|2025,past-question,active
BIO-0016,JAMB,Biology,Reproduction,Cross-fertilization,medium,2025,,Which of the following is an advantage of cross fertilization?,,Individuals produced are less adapted to local environment,It leads to the production of healthier offspring.,It leads to inbreeding depression.,It leads to the production of weak offsprings.,B,,jamb|2025,past-question,active
BIO-0017,JAMB,Biology,Evolution,Evidence of Evolution,medium,2025,,"In most vertebrates, the common basic plan with a skull, vertebral column and a pair of girdle is an evidence of evolution from",,molecular records,fossil records,comparative anatomy,embryology,C,,jamb|2025,past-question,active
BIO-0018,JAMB,Biology,Ecology,Adaptation/Mating Behaviour,medium,2025,,Example of animal exhibiting mating colouration is,,agama lizard,variegated grasshopper,chameleon,leopard,A,,jamb|2025,past-question,active
BIO-0019,JAMB,Biology,Animal Biology/Physiology,Excretion,medium,2025,,Which of the following is the excretory organ in birds?,,Nephridia,kidneys,Malpighian tubules,Green glands,B,,jamb|2025,past-question,active
BIO-0020,JAMB,Biology,Evolution,Lamarckism,medium,2025,,Whose theory of evolution supports that characters acquired through use or disuse are transmitted to offspring?,,Darwin,Mendel,Morgan,Lamarck,D,,jamb|2025,past-question,active
BIO-0021,JAMB,Biology,Ecology,Soil Types,easy,2025,,The most suitable soil for crops cultivation in Nigeria is,,laterite,loamy,sandy,clayey,B,,jamb|2025,past-question,active
BIO-0022,JAMB,Biology,Plant Biology,Flower Structure/Terminology,medium,2025,,"When calyx of a flower is joined together, it is called",,gamosepalous,polypetalous,gamopetalous,polysepalous,A,,jamb|2025,past-question,active
BIO-0023,JAMB,Biology,Animal Biology/Physiology,Diseases,medium,2025,,Which of the following statements about poliomyelitis is correct?,,It affects both young and old.,It is a bacterial disease.,There is no vaccination against the disease.,It is capable of paralysing the limbs.,D,,jamb|2025,past-question,active
BIO-0024,JAMB,Biology,Genetics,Monohybrid Cross,medium,2025,,What is the phenotype of the offspring produced in F\(_1\)?,,Homozygous tall,Homozygous short,Heterozygous short,Heterozygous tall,D,,jamb|2025,past-question,active
BIO-0025,JAMB,Biology,Plant Biology,Stem Anatomy,medium,2025,,The cortex of a herbaceous stem is made up of,,sclerenchyma and collenchyma,collenchyma and xylem,sclerenchyma and parenchyma,parenchyma and collenchyma,D,,jamb|2025,past-question,active
BIO-0026,JAMB,Biology,Classification/Taxonomy,Plant Classification,medium,2025,,The most advanced spermatophyte that forms the largest group of plant kingdom is the,,fern,angiosperm,cones,gymnosperm,B,,jamb|2025,past-question,active
