question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
ENG-0204,JAMB,English,Grammar,Structure (It is high time),medium,2025,,It is high time you _____ visiting that friend of yours.,,stopped,should stop,stop,must stop,A,,jamb|2025,past-question,active
ENG-0205,JAMB,English,Lexis and Structure,Order of Adjectives,medium,2025,,Put Chioma's meat in _____ pack.,,shiny lunch red new,new red lunch shiny,shiny new red lunch,red new shiny lunch,C,,jamb|2025,past-question,active
ENG-0206,JAMB,English,Lexis and Structure,Comparison/Intensifiers,medium,2025,,"As trained teachers, Joke teaches _______ better than Jumoke.",,far,too,very,more,A,,jamb|2025,past-question,active
ENG-0207,JAMB,English,Grammar,Determiners,medium,2025,,The teacher asked the students to submit their assignments before the end of ____ week,,last,any,these,next,D,,jamb|2025,past-question,active
ENG-0208,JAMB,English,Grammar,Conditionals,medium,2025,,"If I had worked hard, I _______ very high marks in the exam.",,would have score,will score,would have scored,can score,C,,jamb|2025,past-question,active
ENG-0209,JAMB,English,Grammar,Question Tags,medium,2025,,"It had been raining before the party started, _____",,isn't it?,wasn't it?,hasn't it?,hadn't it?,D,,jamb|2025,past-question,active
ENG-0210,JAMB,English,Lexis and Structure,Collective Nouns,medium,2025,,That Fulani man has a large _____ of sheep.,,multitude,herd,swine,flock,D,,jamb|2025,past-question,active
ENG-0211,JAMB,English,Lexis and Structure,Word Choice,medium,2025,,She is ______ a sailor who is away at sea.,,fuming about,longing for,waiting for,writing to,B,,jamb|2025,past-question,active
ENG-0212,JAMB,English,Grammar,Inversion/Sentence Structure,medium,2025,,Scarcely ______ she entered the room when the phone rang.,,did,has,does,had,D,,jamb|2025,past-question,active
ENG-0213,JAMB,English,Grammar,Question Tags,medium,2025,,"He presented a masterpiece at the conference, ___________",,was he?,wasn't he?,did he?,didn't he?,D,,jamb|2025,past-question,active
ENG-0214,JAMB,English,Lexis and Structure,Synonyms,medium,2025,,The students were reluctant to participate in the debate.,,excited,happy,unwilling,eager,C,,jamb|2025,past-question,active
ENG-0215,JAMB,English,Lexis and Structure,Synonyms,medium,2025,,Parenting is really arduous even though enjoyable.,,strenuous,troublesome,hectic,severe,A,,jamb|2025,past-question,active
ENG-0216,JAMB,English,Lexis and Structure,Synonyms,medium,2025,,The debater made a very scurrilous remark about his opponent.,,false,abusive,fake,sharp,B,,jamb|2025,past-question,active
ENG-0217,JAMB,English,Lexis and Structure,Synonyms,medium,2025,,Giwa does odious things at times.,,horrible,great,strange,pleasant,A,,jamb|2025,past-question,active
ENG-0218,JAMB,English,Lexis and Structure,Synonyms,medium,2025,,Gambling is a pernicious act.,,beneficial,harmless,noxious,benign,C,,jamb|2025,past-question,active
ENG-0219,JAMB,English,Lexis and Structure,Synonyms,medium,2025,,The building was haunted by a couple of spooks.,,ghosts,robbers,hyenas,hunters,A,,jamb|2025,past-question,active
ENG-0220,JAMB,English,Lexis and Structure,Synonyms,medium,2025,,The scientist made an astonishing discovery in the laboratory.,,common,amazing,expected,ordinary,B,,jamb|2025,past-question,active
ENG-0221,JAMB,English,Lexis and Structure,Synonyms,medium,2025,,"Between Achebe and Soyinka, it is debatable who is more enigmatic a writer.",,flamboyant,ludicrous,inscrutable,talented,C,,jamb|2025,past-question,active
