question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
ENG-0054,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"Why did the director of ""Beesway Group of School"" claim the ritual involving the cow was necessary?",,To pray for his late father who gave him the land,To bring in more pupils to the school,To appease the parents who had raised complaints,To conduct a purification ceremony for the school,A,,jamb|2025,past-question,active
ENG-0055,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What led to the closure of the school Bepo started?,,Poor road conditions in the neighbourhood,Parents' dissatisfaction with the curriculum,A failed spiritual ritual to attract more pupils,Mismanagement of school funds,A,,jamb|2025,past-question,active
ENG-0056,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What was the cost of the form for the position of Head Boy or Head Girl in the school election at Stardom?,,"N25,000","N40,000","N50,000","N60,000",C,,jamb|2025,past-question,active
ENG-0057,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What inappropriate remark did Banky make during Speech Day?,,Tosh was unqualified for the position,Tosh was the son of an ex-convict,Tosh bribed his way into the election,Tosh lacked the required skill for the role,B,,jamb|2025,past-question,active
ENG-0058,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"Why was Tosh's father, Chief Ogba, detained for 36 months?",,He was convicted of theft,He failed to pay a school debt,He was accused of fraud but acquitted later,He faced trial for alleged misappropriation,D,,jamb|2025,past-question,active
ENG-0059,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"Which of the following waterfalls is the highest in West Africa, according to the novel?",,Gurara Falls,Erin Ijesha Waterfalls,Ikogosi Warm Springs,Owu Waterfalls,D,,jamb|2025,past-question,active
ENG-0060,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What is the primary reason Mr Bepo organises excursions for the students at Stardom?,,To give them a good grasp of their country before they all go abroad.,To promote Stardom as a school that values excursions,To prepare students for geography exams.,To encourage tourism in Nigeria,A,,jamb|2025,past-question,active
ENG-0061,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Which of the following festivals have the students attended? i. Calabar Carnival ii. Osun Oshogbo Festival iii. Argungu Festival iv. Abuja Carnival,,"i, ii, iii only",i and iv only,ii and iii only,"i, ii, iii, iv",A,,jamb|2025,past-question,active
ENG-0062,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,How did Mr Bepo inspire students after they visited areas like Mushin and Ajegunle during their excursions?,,By promising to relocate them to better areas,By sharing stories of successful individuals who rose from slums,By discouraging them from visiting such areas again,By giving them motivational books about success,B,,jamb|2025,past-question,active
ENG-0063,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"What was the source of the name ""Badagry"", according to the novel?",,It was named after the Badagry River,It was derived from Agbadarigi,It originated from a European explorer's name,It was named after a nearby slave market,B,,jamb|2025,past-question,active
ENG-0064,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"What does Mr Bepo mean by the term ""new slavery""?",,Africans willingly move abroad for better opportunities,The continuation of slave trade in some regions,The exploitation of Africans by modern companies,Africans selling themselves into physical labour,A,,jamb|2025,past-question,active
